Customer ID,Recency,Frequency,Monetary,DistinctProducts,Country,HighValue
12346,326,12,77556.46,27,United Kingdom,1
12347,2,8,5633.32,126,Iceland,1
12348,75,5,2019.4,25,Finland,0
12349,19,4,4428.69,138,Italy,1
12350,310,1,334.4,17,Norway,0
12351,375,1,300.93,21,Unspecified,0
12352,36,10,2849.84,70,Norway,1
12353,204,2,406.76,23,Bahrain,0
12354,232,1,1079.4,58,Spain,0
12355,214,2,947.61,35,Bahrain,0
12356,23,6,6373.68,104,Portugal,1
12357,33,3,18287.66,261,Switzerland,1
12358,2,5,3887.07,56,Austria,1
12359,58,10,8935.94,305,Cyprus,1
12360,52,8,4252.89,160,Austria,1
12361,287,4,511.25,18,Belgium,0
12362,3,11,5356.23,201,Belgium,1
12363,110,2,552.0,23,Unspecified,0
12364,8,4,1313.1,70,Belgium,0
12365,291,2,641.38,22,Cyprus,0
12366,634,1,500.24,3,Cyprus,0
12367,4,1,168.9,11,Denmark,0
12368,628,1,917.6999999999999,18,Cyprus,0
12369,413,3,1791.15,90,Austria,0
12370,51,7,4320.31,168,Austria,1
12371,45,5,4067.38,134,Switzerland,1
12372,72,3,1298.04,34,Denmark,0
12373,311,3,1127.65,36,Austria,0
12374,25,4,2989.2200000000003,79,Austria,1
12375,11,2,457.5,14,Finland,0
12376,390,2,503.15,11,Switzerland,0
12377,315,4,3426.32,129,Switzerland,1
12378,130,2,5416.32,281,Switzerland,1
12379,82,4,1620.22,58,Belgium,0
12380,22,11,9676.300000000001,156,Belgium,1
12381,5,5,1845.31,70,Norway,0
12383,185,5,1850.56,84,Belgium,0
12384,29,2,585.27,26,Switzerland,0
12385,379,1,1938.4,65,Belgium,0
12386,338,2,660.8,10,Australia,0
12387,415,1,143.94,9,Australia,0
12388,16,8,3901.11,83,Australia,1
12389,403,3,1433.33,41,Australia,0
12390,80,1,549.84,32,Belgium,0
12391,22,6,2773.42,241,Cyprus,1
12392,591,1,234.75000000000003,7,Australia,0
12393,72,6,2399.4500000000003,63,Australia,1
12394,64,2,1272.48,26,Belgium,0
12395,19,15,5067.27,145,Belgium,1
12396,674,1,931.43,65,RSA,0
12397,36,2,2409.9,110,Belgium,1
12398,46,1,1635.6599999999999,85,Switzerland,0
12399,119,7,1962.3,67,Belgium,0
12400,414,1,205.25,11,Australia,0
12401,303,1,84.3,5,Belgium,0
12402,323,6,1256.9,43,Belgium,0
12403,50,2,1019.36,5,Denmark,0
12404,682,1,63.24,1,Finland,0
12405,149,1,1710.39,54,Finland,0
12406,22,5,6390.36,114,Denmark,1
12407,50,5,1708.1200000000001,57,Belgium,0
12408,33,8,4340.7699999999995,104,Belgium,1
12409,79,7,23419.29,177,Switzerland,1
12410,309,3,1013.71,36,Switzerland,0
12411,410,1,346.9,22,Australia,0
12412,75,6,2596.93,82,Denmark,1
12413,67,4,999.45,41,Spain,0
12414,217,6,952.41,21,Austria,0
12415,24,28,144458.37,498,Australia,1
12416,657,1,202.56,11,Australia,0
12417,3,20,6816.91,270,Belgium,1
12418,113,4,2021.2,90,Switzerland,0
12419,386,2,503.01,23,Spain,0
12420,64,1,600.39,29,Cyprus,0
12421,16,6,1098.6,44,Spain,0
12422,96,17,5231.8,137,Australia,1
12423,1,10,2622.39,128,Denmark,1
12424,163,4,3340.03,78,Australia,1
12425,78,2,1741.41,87,Portugal,0
12426,195,2,1345.21,73,Germany,0
12427,22,3,1129.3,26,Germany,0
12428,26,9,7956.46,258,Finland,1
12429,9,8,7485.91,124,Denmark,1
12430,43,1,256.4,11,Norway,0
12431,36,27,10857.97,244,Belgium,1
12432,43,5,5059.32,107,Norway,1
12433,1,10,20581.26,285,Norway,1
12434,85,3,1103.43,62,Australia,0
12435,80,6,13925.93,88,Denmark,1
12436,100,1,509.01,16,Norway,0
12437,2,39,12683.4,273,France,1
12438,14,2,2906.85,84,Norway,1
12439,683,2,1158.18,69,Cyprus,0
12440,462,2,859.2,21,Austria,0
12441,367,1,347.1,11,France,0
12442,3,1,172.06,12,Spain,0
12443,732,1,485.31,21,Norway,0
12444,21,5,5005.46,138,Norway,1
12445,22,2,434.98,24,Spain,0
12446,58,1,1002.3100000000001,57,RSA,0
12447,243,1,476.49,26,Belgium,0
12448,44,1,449.45,22,Spain,0
12449,22,6,4835.89,125,Denmark,1
12450,156,5,688.2,31,Spain,0
12451,11,8,12669.88,352,Switzerland,1
12452,17,2,430.57,21,Switzerland,0
12453,134,1,707.09,43,Austria,0
12454,56,5,16679.78,24,Spain,1
12455,73,10,5879.95,199,Cyprus,1
12456,44,3,3181.04,105,Switzerland,1
12457,66,8,2995.91,63,Switzerland,1
12458,71,4,1777.49,71,Switzerland,0
12459,605,1,454.36,23,Spain,0
12460,456,1,326.65,18,Belgium,0
12461,94,2,826.88,35,Switzerland,0
12462,19,2,1189.59,51,Spain,0
12463,53,4,1344.78,65,Belgium,0
12464,10,8,1212.05,6,Belgium,0
12465,17,2,742.1899999999999,46,Belgium,0
12466,682,1,56.73,1,France,0
12467,423,1,132.8,9,USA,0
12468,188,5,3670.74,127,Germany,1
12469,523,2,3070.54,76,Thailand,1
12470,690,1,211.95,23,Unspecified,0
12471,2,79,39963.79,255,Germany,1
12472,32,19,17880.59,397,Germany,1
12473,29,5,3938.5499999999997,140,Germany,1
12474,17,31,12424.45,369,Germany,1
12475,54,2,1149.64,54,Germany,0
12476,16,23,14115.41,358,Germany,1
12477,23,9,20276.37,295,Germany,1
12478,4,1,680.99,36,Greece,0
12479,11,1,527.2,31,Germany,0
12480,28,7,5464.85,177,Germany,1
12481,23,15,12361.39,248,Germany,1
12482,576,29,23691.4,42,Sweden,1
12483,17,19,5120.58,68,Sweden,1
12484,33,12,6370.15,329,Spain,1
12485,529,1,708.1,34,Sweden,0
12486,432,1,1037.28,49,Sweden,0
12487,731,1,285.29999999999995,2,Sweden,0
12488,10,3,1298.66,46,France,0
12489,336,1,334.93,15,France,0
12490,5,21,9823.64,195,France,1
12491,39,1,460.40000000000003,25,France,0
12492,63,3,715.21,38,Germany,0
12493,166,2,433.74,20,France,0
12494,16,9,1872.8700000000001,83,France,0
12495,641,1,357.4,17,Sweden,0
12496,620,2,54.09,10,Spain,0
12497,82,3,6248.5,41,Germany,1
12498,21,3,403.70000000000005,21,Germany,0
12499,560,1,393.72,27,Germany,0
12500,23,19,5955.21,88,Germany,1
12501,337,1,2169.39,149,Germany,0
12502,96,5,3723.87,102,Spain,1
12503,584,1,1126.0,2,Spain,0
12504,18,4,779.05,11,Germany,0
12505,409,1,955.2,42,Italy,0
12506,233,1,73.5,23,France,0
12507,134,4,1844.06,46,Spain,0
12508,26,2,398.27,57,France,0
12509,284,1,176.5,7,France,0
12510,143,9,5178.02,94,Spain,1
12511,429,1,3084.02,190,Greece,1
12512,66,2,138.03,31,Israel,0
12513,113,1,612.29,35,France,0
12514,267,2,1597.76,76,Italy,0
12515,353,1,383.7,16,Italy,0
12516,78,4,2648.62,49,Germany,1
12517,28,5,2502.84,232,Germany,1
12518,1,5,2056.89,84,Germany,0
12519,64,2,726.54,34,Germany,0
12520,79,5,2634.26,121,Germany,1
12521,143,1,599.68,38,Germany,0
